Id,Employer,Jobtitle,Startdate,Enddate,Salary,Location,Experience,Specialization,description,no
17,old mutual,personal financial adviser,Apr-2008,Nov-2008,4200,NULL,0,Marketing,"customer service, sell long term & short term insurences. do own admin, answer & make calls.",3799
20,Interassociates Investment Limited,Internal Auditor,Feb-2008,May-2010,0,NULL,2,Finance,performing audit at various shop to ensure goods receive have been well accounted for by the shop managers. and also preparing daily cash flow statement to control our bank overdraft.,2862
21,kiambu institute of science & technology,data clerk officer,May-2011,Dec-2011,0,NULL,0,IT-Hardware,,4879
23,VIGUO COMMUNICATIONS ENTERPRISE,DATA MANAGER,Jan-2011,Sep-2011,0,NULL,0,IT-Hardware,"ASSIST IN WEB DESIGN
ACQUIRE, MANAGE AND DEVELOP WEBSITE CONTENT DATA OF CLIENTS AND FOR THE COMPANY
DETERMINE WEBSITE STRUCTURE",1744
28,HORIZON CONTACT CENTERS.,CUSTOMER SERVICE AGENT,Oct-2010,Jan-1935,25,NULL,-75,Banking,,442
29,Federal Minstry of Health (FMOH),Health Officer,Oct-2005,Aug-2011,3414.4,NULL,6,Medical,"Head of Public Health center, Clinician of health center and also providing public health service",6030
27,yaanga secondary school,Teacher,May-2010,Dec-2011,0,NULL,1,Education,specialized in teaching and  training in technical training  institutions,6192
31,Marie Stopes International Ethiopia,Senior Program Officer of Oromia area,Sep-2011,Aug-2011,11453,NULL,0,Medical,"Coordinating every technical and clinical issue of Marie Stopes international Ethiopia, Oromia area",6030
32,Awash International Bank S.c,Accountant,May-2008,Oct-2011,0,NULL,3,Finance,"I am working in Awash International Bank at different work positon. for three years an am a PC- Operator, for One month a Jounior Bank Clerk and finally for four months I am an accountant. And now I am working an Accountant in  SOHA Transit and Transport company. I am married, his name is Abayineh Bekele. I want to work in Canada for better knowledge,salary payment  and working environment. If You can give me this chance, I am work Honestly, accountably and dedicate.",2067
33,Awash International Bank S.c,Accountant,May-2008,Oct-2011,0,NULL,3,Finance,"I am working in Awash International Bank at different work positon. for three years an am a PC- Operator, for One month a Jounior Bank Clerk and finally for four months I am an accountant. And now I am working an Accountant in  SOHA Transit and Transport company. I am married, his name is Abayineh Bekele. I want to work in Canada for better knowledge,salary payment  and working environment. If You can give me this chance, I am work Honestly, accountably and dedicate.",2067
34,Awash International Bank S.c,Accountant,May-2008,Oct-2011,0,NULL,3,Finance,"I am working in Awash International Bank at different work positon. for three years an am a PC- Operator, for One month a Jounior Bank Clerk and finally for four months I am an accountant. And now I am working an Accountant in  SOHA Transit and Transport company. I am married, his name is Abayineh Bekele. I want to work in Canada for better knowledge,salary payment  and working environment. If You can give me this chance, I am work Honestly, accountably and dedicate.",2067
35,"Airforce Military School Jos, Plateau State",Instructor,Oct-2010,Oct-2011,29800,NULL,1,Media,"Teaching Students on press techniques and terminologies
Taking Students out for competitions, outings etc
teaching Students basic reporting skills",6035
36,"Airforce Military School Jos, Plateau State",Instructor,Oct-2010,Oct-2011,29800,NULL,1,Media,"Teaching Students on press techniques and terminologies
Taking Students out for competitions, outings etc
teaching Students basic reporting skills",6035
37,"Calvary International College, Akure Ondo State",Instructor,Feb-2007,Mar-2008,10000,NULL,1,Media,Teaching,6035
38,oceanic bank Nigeria,Relationship officer / credit officer,Sep-2008,Jan-2012,0,NULL,4,Advertising,"My job specification includes strrategic communication in managing customers' relationships and booking credits, as well as marketing",2446
39,Shelter land consult Nigeria,Head pro bono and litigations / brief editor,Sep-2007,Aug-2008,0,NULL,1,NGO,I headed the pro bono and litigation services as well as edited brief and corporate communication documents for corporate clients,2446
40,Sean cussons organisation Nigeria,Head research and communications,Aug-2002,Feb-2004,0,NULL,2,Consulting,I coordinated the research activities and manged communication department,2446
41,Ezeonyeson steel co ltd Nigeria,Head sales and purchases,Aug-1994,Aug-1998,0,NULL,4,Advertising,I coordinated sales and purchases aspects of the company's operation,2446
42,National Disaster Management Organisation,Disaster Control Officer,Nov-2010,Dec-2011,0,NULL,1,Security,"search and rescue operations, risk assessment, damage assessment, first aid,communication,driving, report writing, distribution of relief items to victims, security etc.",4002
43,OPSM,Web developer,Sep-2011,Dec-2011,60000,NULL,0,IT-Software,Built www.careergong.com,
44,Ghana Armed Forces,Intelligence Operative,May-1990,Oct-2009,0,NULL,19,Security,"security, intelligence operations, surveillance, investigations, guard duties,",4002
45,NGO local,Livestock expert,Nov-2008,Mar-2012,2808,NULL,4,NGO,,239
46,SECULITY GROUP,SECULITY OFFICER,Dec-2011,Jan-1935,150000,NULL,-76,Finance,,5255
47,AFRIK IT SOLUTIONS,NETWORKING AND HARDWARE ENGINEER,Jan-2010,Jan-2012,0,NULL,2,IT-Hardware,"NETWORKING OF COMPUTERS 
INSTALLATION OF SOFTWARE
NETWORKING OF PRINTERS",2148
48,SHOPRITE,CASHIER,Jan-2010,Jan-1935,0,NULL,-75,Finance,,4568
52,macdowell,senior surveyor,Jan-2011,Dec-2011,1500,NULL,0,Site Engineering,"special skill,knowledgeble in computer skills used in engineering work like autocard,& achicard",6057
53,grunnerkranz hotel,"barlady, salaries , admin",Aug-2003,Jan-2009,8500,NULL,6,Hospitality,,748
54,rainier arangies,"admin , creditors, debtors , receptionist",Sep-2011,Sep-2014,8000,NULL,3,Secreatry,"debtors
creditors
basic admin
receptionist
salaries",748
55,tanroads mtwara,assistant accounts,Jan-1935,Jan-1935,0,NULL,0,Finance,,2167
56,tanroads mtwara,assistant accounts,Jan-1935,Jan-1935,0,NULL,0,Finance,,2167
86,Expresso Telecom,Customer Experience Executive,Sep-2010,Jan-2012,200,NULL,2,Telecoms,"ïƒ¼	Proactively identify processes and innovative ideas to improve customer service and operational efficiency.
ïƒ¼	Collaborate with management to draw cutting edge policies by consistently preparing and forwarding a 100% error-free reports by close of business each day. 
ïƒ¼	Boost customer satisfaction by 20% through conducting customer follow up exercise and after sales services via phone.
ïƒ¼	Reduce imbalances and disputes in center end-of-month financial audits to zero by always filing records/copies of all financial transactions, submitting reconciliation reports daily to the Center manager, and adhering always to all finance and internal control outlined guidelines and procedures when handling money.  
ïƒ¼	Train new intern and service personnel on the job ethics and the various software used in the centre.
ïƒ¼	Deploying the knowledge and skills in the use of software such as CDMABOSS, PPC, CRM, and VCM management, MICROSOFT OUTLOOK & NAVISION, SIEBEL COMMUNICATIONS SOFTWARE (ORACLE) and Lotus Webmail in the performance of the above mentioned duties.

ï¶	Kasapa Telecom Ltd (EXPRESSO TELECOM), Accra October 2009 to August 2010 
 Customer Experience Executive (National Service)

ïƒ¼	Handling customer complaints and providing comprehensive solutions to their challenges.
ïƒ¼	Sale of  CDMA phones, data products (CLIQ) and accessories; providing after sales service
ïƒ¼	Educating existing and prospective customers on the product portfolio of the company (i.e. the services of the company) and also the benefits of subscribing to the network.
ïƒ¼	Responsible for the preparation of Customer Relationship Management (CRM).
ïƒ¼	Assisting customers with their data (internet) service installation (setup) via phone and walk-in.",1357
87,SESA GOA LTD. GOA,Sr. Engineer,Aug-2009,Jan-1935,5,NULL,-74,Engineering,,5165
88,Globacom Ltd. PH,Regional Accountant,Mar-2005,Jan-2012,0,NULL,7,Finance,"ng & coordinating the overall financial activities of the territory.
ï‚§	Observance of internal control guidelines and internal checks on processing of transactions, cash, bank and inventory.
ï‚§	Ensuring timely preparation and remittance of daily, weekly and monthly   reports to H/Office.
ï‚§	Ensuring effective control over cash & banks, stocks and fixed assets.
ï‚§	Overseeing the activities of all accounts and stock controllers in the territory.
ï‚§	Maintenance of Territory and PH Regional General Expenses Accounts.
ï‚§	Ensuring prompt preparation & checking of monthly bank reconciliation statements/investigation, follow-up & resolution of unusual items therein.
ï‚§	Provision of accurate and timely Monthly & Quaterly Management Reports.
ï‚§	Periodic visit to states/areas under the territory for review of operations. 
ï‚§	Liaising with banks, clients and statutory authorities.",565
89,,,Jan-1935,Jan-1935,0,NULL,0,Finance,,1838
90,Ghana Ports and Harbours Authority,Reach stacker Operator,Oct-2005,Dec-2005,0,NULL,0,Merchandising,"1. Good maneuverability skill
2. Attentive capacity at odd time
3.ability to meet expected turn around time",1498
91,Bokdad Enterprise,Reach stacker Operator,Jan-2001,Oct-2005,0,NULL,4,Merchandising,"1. Good maneuverability skill
2. Attentive capacity at odd time
3.ability to meet expected turn around time",1498
93,Odart Stevedoring 2011,Reach stacker Operator,Sep-2011,Dec-2012,0,NULL,1,Merchandising,"1. Good maneuverability skill
2. Attentive capacity at odd time
3.ability to meet expected turn around time",1498
135,Lion International Bank S.C,Manager-Network and System Operations Division,May-2009,Feb-2012,10368,NULL,3,IT-Hardware,"Responsible for Networking and Database issues which includes configuration, customization,database maintenance and over all system administration tasks.",2823
95,Ghana Education Trust Fund,ACCOUNTING OFFICE,Aug-2009,Jan-2012,6,NULL,3,Finance,"1.	Ghana Education Trust Fund[GETFUND] â€“{Accra} August, 2010 -
 Position: National Service Personnel [Audit Department]
 Duties:
â€¢	Registering of Contractors payment vouchers   
â€¢	Pre -auditing and Post-auditing of Contractors claims and accounts records
â€¢	Vouching of cash book
      
2.	QBR Research and Communications Limited  [Accra] March,2010-April,2010 
Position: Field worker
Duties:
â€¢	Research Assistant                                                                                                              
â€¢	 Market survey  
                                                                                                                       
                   
3.	ORSAM Ghana Ltd.[Tema] 2009
Position:  [Administrative Assistant]
Duties:
â€¢	Registering of invoices from suppliers
â€¢	Filing of documents

 
      Training and Seminar
â€¢	Synergy Global [HR Program]
â€¢	Waves International Seminar [Entrepreneurship]

INTERESTS AND ACTIVITIES
Reading interesting and educative materials and watching documentaries",5684
96,,,Jan-2012,Jan-2017,0,NULL,5,Engineering,,3375
98,SVP Microfinance Bank Ltd,Assistant Reconciliation/Purchasing Officer,Feb-2009,May-2010,0,NULL,1,Banking,"Incharge of reconciling and calculation of customers' quarterly interests,commission on turnover(COT),make purchases of all the items needed for the day-to-day running of the organisation and many more",2822
103,Rivers Vegetable Oil Company (RIVOC),Production Personnel (Crutcher Operator),Jan-2004,Apr-2004,0,NULL,0,Engineering,worked as the operator of a soap making machine called Crutcher in the soap plant of the company.,2822
102,Nigerian Bottling Company (NBC),Production Personnel,Apr-2004,Aug-2004,0,NULL,0,Engineering,worked as the parker machine operator.worked at the ice production plant,2822
104,OPSM,Maintenance Officer,Sep-2011,Sep-2012,40000,NULL,1,Management,,3970
