Id,University,StartDate,EndDate,GPA,OutOf,Course,Courselevel,Classification,Specialization,projects,no
2740,Babcock University,"18TH August, 2005","7TH June, 2009",,,Mass Communication,BA,,,,579
325,Anna University Chennai,Jul-2004,Nov-2010,64%,100%,Electrical and Electronics Engineering,B.Eng,Second Upper,Engineering,,1082
354,ISAE,Jan-2008,Oct-2010,13.7,20,,B.Eng,Second Lower,Food,,3983
387,Federal University of Technology Akure,Feb-1994,Jun-2000,3.2,5,Mining Engineering,B.Eng,Second Lower,Engineering,,6050
398,"University Of Benin, Ugbowo Benin City",Jan-2008,Nov-2011,3.9,5,Electrical/electronic Engineering,B.Eng,Second Class Upper,Engineering,,2118
436,"federal university of technology, minna",Apr-2003,Aug-2008,2.63,5,elecctrical/computer engineering,B.Eng,Second class lower,IT-Hardware,,2525
449,NNAMDI AZIKIWE UNIVERSITY AWKA ANAMBRA NIGERIA,Mar-2001,Jul-2006,2.72,5,ELECTRICAL ELECTRONICS ENGINEERING,B.Eng,Second class lower,Oil &amp; Gas,,1350
455,University of Ado-Ekiti,Oct-2004,Jun-,3.28,5,Mechanical Engineering,B.Eng,Second class lower,Site Engineering,,235
456,"Federal university of Technology Akure, Ondo state.",Sep-2005,Dec-2009,4.03,5,Electrical and Electronic engineering,B.Eng,Second class upper,Engineering,,4631
485,University of Benin,Nov-2005,Jan-2011,4.038,5,Chemical Engineering,B.Eng,Second class upper,Oil &amp; Gas,,1373
486,"Federal University of Technology Akure,Nigeria.",Oct-2006,Oct-2010,3.76,5,Mechanical Engineering,B.Eng,Second class upper,Oil &amp; Gas,,4943
493,"Federal University of Technology, Owerri, Imo state",Dec-2004,Dec-2009,3.34,5,Chemical Engineering,B.Eng,Second class lower,Production,,5514
547,Federal University of Technology Minna,May-1998,Feb-2002,3.84,5,Chemical Engineering,B.Eng,Second class upper,Oil &amp; Gas,,5483
509,"Federal university of Technology, Owerri",Jan-2011,Sep-2006,4.3,5,Civil Engineering,B.Eng,Second class upper,Oil &amp; Gas,,5723
512,NNAMDI AZIKIWE UNIVERSITY AWKA,Mar-2001,Jul-2006,2.72,5,ELECTRICAL ELECTRONICS ENGINEERING,B.Eng,Second class lower,Oil &amp; Gas,,1350
532,Federal University of Technology Akure,Sep-2005,Sep-2010,4.4,5,Electrical and Electronics Engineering,B.Eng,Second class upper,Engineering,,3386
597,"Madonna University, Elele Campus",Oct-2004,Oct-2009,3,5,Electrical/Electronic Engineering,B.Eng,Second class lower,Engineering,,1982
633,Enugu state university of science and Technology,Jan-2001,Aug-2006,5,37,chemical Engineering,B.Eng,Second class upper,Engineering,,4105
643,University of Benin,Oct-2003,Nov-2009,3.2,5,Production Eingineering,B.Eng,Second class lower,Production,,4985
651,Federal University of Technology Owerri,Oct-2004,Jan-2010,3.2,5,Electrical/Electronics Engineering,B.Eng,Second class lower,Telecoms,,5419
653,Enugu State University of Science and Technology Enugu,Jan-1997,Oct-2002,3,5,Electrical Electronics Engineering,B.Eng,Second class lower,Engineering,,1463
654,Federal University of Technology Owerri,Sep-2004,Oct-2010,3,5,Petroleum Engineering,B.Eng,Second class lower,Oil &amp; Gas,,1827
661,ambrose alli university,Sep-1998,Apr-2004,3.063,5,MECHANICAL ENGINEERING,B.Eng,Second class lower,Production,,4440
670,Federal University Of Technology Owerri,Oct-2002,Nov-2007,3.76,5,Civil Engineering,B.Eng,Second class upper,Site Engineering,,4248
672,"FEDERAL UNIVERSITY OF TECHNOLOGY,OWERRI,IMO STATE.",Jan-2003,Oct-2006,4:21,5:00,ELECTRICAL/ELECTRONIC ENGINEERING,B.Eng,Second class upper,IT-Hardware,,5319
675,"Federal University of Technology, Owerri",Nov-2002,Dec-2007,2.74,5,Electrical/Electronic Engineering,B.Eng,Second class lower,Engineering,,2081
688,"OLABISI ONABANJO UNIVERSITY, AGO IWOYE",Feb-2005,Jun-2011,2.99,4,COMPUTER  ENGINEERING,B.Eng,Second class lower,IT-Hardware,,5742
696,Anna University,Apr-2008,Aug-2012,7.4,10,ECE,B.Eng,First class,IT-Software,,1598
741,federal university of technology owerri,Jan-2002,Sep-2007,3,5,mechanical engineering,B.Eng,Second class lower,Production,,3505
747,Ambrose Alli University,Sep-2003,Aug-2006,2.9,5,Mechanical Engineering,B.Eng,Second class lower,Oil &amp; Gas,,5686
764,"UNIVERSITY OF ILORIN, ILORIN, KWARA STATE NIGERIA.",Jan-2004,Jun-2008,2.76,5,MECHANICAL ENGINEERING,B.Eng,Second class lower,Engineering,,954
784,MADONNA UNIVERSITY,Oct-2003,Nov-2008,3.8,5,Electrical/Electronics engineering,B.Eng,Second class upper,IT-Hardware,,6003
867,"Federal University of Technology Owerri, Imo State",Jul-2002,Nov-2007,3.65,5,Petroleum Engineering,B.Eng,Second class upper,Oil &amp; Gas,,1299
829,"FEDERAL UNIVERSITY OF TECHNOLOGY,OWERRI,IMO STATE.",Jan-2003,Sep-2006,4.21,5,ELECTRICAL/ELECTRONIC ENGINEERING,B.Eng,Second class upper,Engineering,,5960
835,"Federal University of Technology, Owerri.",Mar-2005,Mar-2010,3,5,Civil Engineering,B.Eng,Second class lower,Engineering,,5399
841,University of Uyo,Nov-2005,Mar-2011,4.35,5,Computer Engineering,B.Eng,Second class upper,IT-Hardware,,3937
854,Federal University of Technology Minna.,Mar-2003,Sep-2008,2.77,5,Civil Engineering,B.Eng,Second class lower,Construction,,6015
855,Federal University of Technology Minna.,Mar-2003,Sep-2008,2.77,5,Civil Engineering,B.Eng,Second class lower,Construction,,6015
856,Federal University of Technology Minna.,Mar-2003,Sep-2008,2.77,5,Civil Engineering,B.Eng,Second class lower,Construction,,6015
870,Federal University of Technology Owerri ,Dec-2007,Dec-2012,3,5,Electronic & Computer Engineering,B.Eng,Second class lower,Engineering,,1451
891,"Federal University of Technology, Owerri, (FUTO), Imo State.",Nov-2004,Nov-2009,3,5,Civil Engineering,B.Eng,Second class lower,Construction,,2317
893,"Federal University of Technology,Owerri",Jan-2005,Jan-2010,3.42,5,Civil Enginerring,B.Eng,Second class lower,Construction,,2353
894,Maha college of Engg,Aug-2006,May-2010,71,100,CSE,B.Eng,First class,IT-Software,,2957
895,Sri Ram Engg college,Aug-2010,Sep-2012,8.2,10,ME-CSE,B.Eng,First class,IT-Software,,2957
902,federal university of technology yola,Jan-2002,Dec-2008,2.98,3.5,MECHANICAL ENGINEERING,B.Eng,Second class lower,Engineering,,1026
911,university of portharcourt,Jan-2001,Aug-2007,1.99,3.5,Mechanical Engineering,B.Eng,Third class,Production,,5590
920,University of Benin,Jan-2005,Dec-2009,4,5,Electrical/Electronics Engineering,B.Eng,Second class upper,Engineering,,6214
922,"michael okpara university of agriculture umudike, umuahia",Nov-2007,Sep-2012,3,5,civil engineering,B.Eng,Second class lower,Site Engineering,,4934
955,"University Of Uyo, Uyo",Feb-2002,Jun-2008,3.36,5,Civil Engineering,B.Eng,Second class lower,Construction,,817
972,"University Of Maiduguri,Borno State",Jan-2003,Oct-2009,2.6,5,Electrical/Electronic Engineering,B.Eng,Second class lower,Engineering,,5871
982,Niger Delta University,Feb-2004,Nov-2008,3.7,5,Mechanical Engineering,B.Eng,Second class upper,Oil &amp; Gas,,718
987,B.Eng Mechanical,Nov-2000,Sep-2000,3.38,5,mechanical engineering,B.Eng,Second class lower,Production,,1752
1007,"University of Port Harcourt, Rivers State, Nigeria",Oct-2001,Sep-2006,3,5,Petroleum & Gas Engineering ,B.Eng,Second class lower,Oil &amp; Gas,,3591
1021,"Bayero University, Kano",Apr-2002,Jan-2010,1.36,5,Mechanical Engineering ,B.Eng,Third class,Engineering,,1129
1024,"FEDERAL UNIVERSITY OF TECHNOLOGY AKURE, ONDO STATE",Nov-2003,Oct-2008,4.05,5,MINING ENGINEERING,B.Eng,Second class upper,Engineering,,1668
1038,A.B.U. Zaria,Jun-2008,Oct-2011,3.26,5,Mechananical Engireering,B.Eng,Second class lower,Engineering,,2239
1041,University of Benin,Jan-2007,Nov-2011,3.8,5,chemical engineering,B.Eng,Second class upper,Oil &amp; Gas,,6044
