State,Country,DOB,Sex,MaritalStatus,RegDate,advertmeans,yr_exp,no,Experience,Specialization,Courselevel
Abia State,Nigeria,30,Female,Single,2011-12-12 00:00:00,,0,3704,0,Bsc,NULL
Kaduna,Nigeria,39,Male,Single,2011-12-12 00:00:00,,0,3015,0,Bsc,NULL
rivers state,Nigeria,30,Male,Single,2011-12-12 00:00:00,,0,4540,0,Bsc,NULL
RIVERS STATE,Nigeria,39,Female,Single,2011-12-12 00:00:00,,0,2551,0,Hospitality,Bsc
Kaduna,Nigeria,32,Male,Single,2011-12-12 00:00:00,,0,2600,1,Hospitality,Bsc
RIVER STATE,Nigeria,35,Female,Single,2011-12-12 00:00:00,,0,195,0,Hospitality,Bsc
Abia,Nigeria,29,Male,Single,2011-12-12 00:00:00,,0,5486,0,Hospitality,Bsc
Rivers State,Nigeria,30,Male,Single,2011-12-12 00:00:00,,0,1632,0,Hospitality,Bsc
Rivers State,Nigeria,43,Female,Married,2011-12-12 00:00:00,,0,3629,0,Hospitality,Bsc
ABUJA,Nigeria,46,Male,Married,2011-12-12 00:00:00,,0,3824,0,Hospitality,Bsc
United States,âˆ’âˆ’ Please Select âˆ’âˆ’,58,Male,Single,2011-12-12 00:00:00,,0,867,0,Hospitality,Bsc
Rivers,âˆ’âˆ’ Please Select âˆ’âˆ’,35,Male,Single,2011-12-12 00:00:00,,0,2737,0,Hospitality,Bsc
river state,Nigeria,32,Male,Single,2011-12-12 00:00:00,,0,5401,0,Hospitality,Bsc
Nairobi,Kenya,83,Male,Single,2011-12-12 00:00:00,,0,1255,0,Hospitality,Msc
lagos,Nigeria,,Female,âˆ’âˆ’ Please Select,2011-12-12 00:00:00,,0,1801,0,Hospitality,Msc
LAGOS STATE,Nigeria,35,Female,Single,2011-12-12 00:00:00,,0,427,0,Hospitality,BA
Rivers state,Nigeria,28,Female,Married,2011-12-12 00:00:00,,0,705,0,Hospitality,BA
RIVER,Nigeria,35,Male,Single,2011-12-12 00:00:00,,0,525,0,Hospitality,BA
Bayelsa,Nigeria,34,Male,Single,2011-12-12 00:00:00,,0,241,0,Hospitality,BA
Accra,UAE,34,Male,Married,2011-12-12 00:00:00,,0,668,0,Hospitality,BA
Lagos,Nigeria,32,Male,Single,2011-12-12 00:00:00,,0,1673,0,Hospitality,BA
Lagos state,Nigeria,34,Female,Single,2011-12-12 00:00:00,,0,1069,0,Hospitality,BA
lagos state,Nigeria,41,Female,âˆ’âˆ’ Please Select,2011-12-12 00:00:00,,0,5190,0,Hospitality,BA
lagos,Nigeria,34,Female,Single,2011-12-12 00:00:00,,0,3971,0,Hospitality,BA
Lagos,Nigeria,36,Female,âˆ’âˆ’ Please Select,2011-12-12 00:00:00,,0,3648,0,Hospitality,BA
Abuja,Nigeria,27,Female,Single,2011-12-12 00:00:00,,0,5468,0,Hospitality,BA
FCT,Nigeria,32,Female,Married,2011-12-12 00:00:00,,0,2107,3,HR,MBA
LAGOS,Nigeria,37,Male,Single,2011-12-12 00:00:00,,0,925,0,HR,MBA
Lagos,Nigeria,38,Male,Married,2011-12-12 00:00:00,,0,289,5,Consulting,MBA
Lagos,Nigeria,35,Female,Single,2011-12-12 00:00:00,,0,2467,1,Telecoms,B.Tech
lagos,Nigeria,38,Male,âˆ’âˆ’ Please Select,2011-12-12 00:00:00,,0,4268,0,Telecoms,B.Tech
Lison,âˆ’âˆ’ Please Select âˆ’âˆ’,52,Female,Single,2011-12-12 00:00:00,,0,950,19,Architecture,LLB
FCT-ABUJA,Nigeria,37,Male,Married,2011-12-12 00:00:00,,0,3407,8,Marketing,BA
EDO,Nigeria,36,Male,Married,2011-12-12 00:00:00,,0,4241,0,Marketing,BA
FCT,Nigeria,38,Male,Single,2011-12-12 00:00:00,,0,4725,0,Marketing,BA
Lagos,Nigeria,42,Female,Married,2011-12-12 00:00:00,,0,1220,0,Marketing,BA
lagos,Afghanistan,83,Male,Single,2011-12-12 00:00:00,,0,172,0,Marketing,BA
Lagos,Nigeria,35,Male,Single,2011-12-12 00:00:00,,0,1197,0,Marketing,BA
lagos,Nigeria,33,Female,âˆ’âˆ’ Please Select,2011-12-12 00:00:00,,0,1464,0,Marketing,BA
Osun,Nigeria,33,Male,Single,2011-12-12 00:00:00,,0,2620,0,Marketing,BA
